STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,DATE_LAST_UPDATE,TYPE_LAST_UPDATE,DEDUCT_CODE,REMARKS,PROGRAM_CODE,PROJ_NO,PROJ_SUFFIX,NBI_TYPE_OF_IMP,DTL_TYPE_OF_IMP,SPECIAL_CODE,STEP_CODE,STATUS_WITH_10YR_RULE,SUFFICIENCY_ASTERC,SUFFICIENCY_RATING,STATUS_NO_10YR_RULE
8,003010812.90002,1,4,1,108,0,57,3,0,COSTILLA CANAL          ,,COUNTY ROAD 108   ,5.4 MI NW OF ALAMOSA     ,99.99,,,,,37323600,105533600,11,3,2,2,8,1977,2,0,35,1986,0,6.7,0,60,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,7.4,8.8,10.1,0,0,7.4,7.4,99.99,N,0,N,0,0,5,7,5,5,N,,48.6,,14.4,4,6,N,5,6,8,37,1,10.1,1090,24,N  ,N  ,N  ,,,,27,15,49,,,,,0,N,2,,,,0,6,8,0,0,4,0,,Y,8,40,2012,,N,,,Z ,,,,0,,,,,0,,59.1,Y
8,003011201.1005A,1,4,1,112,0,57,3,0,LA JARA CREEK           ,,COUNTY ROAD 112   ,7.2 MI SE OF ALAMOSA     ,99.99,,,,,37221200,105491200,32,3,2,2,8,1990,2,0,85,1986,0,7.6,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,8.5,11.9,12.2,0,0,8.5,8.5,99.99,N,0,N,0,0,9,7,8,7,N,,55.8,,35.1,7,7,N,5,6,8,,,0,1090,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,2,,,,0,1,1,0,1,4,0,,Y,5,90,2012,,N,,,Z ,,,,0,,,,,0,,97.9,Y
8,003011202.00004,1,4,1,112,0,57,3,0,SEAMAN DITCH            ,,COUNTY ROAD 112   ,6.4 MI SE OF ALAMOSA     ,99.99,,,,,37230000,105491200,32,3,2,2,8,1950,2,0,85,1986,0,8.2,0,0,0,0,0,0,0,5,0,0,0,B,1,5,3,2,0,0,1,0,8.5,7,7.6,0,0,8.5,8.5,99.99,N,0,N,0,0,5,7,7,6,N,,28.8,,18.9,5,7,N,3,6,8,31,1,7.6,1090,24,N  ,N  ,N  ,,,,44,4,97,,,,,0,N,2,,,,0,6,6,0,0,4,0,,Y,8,90,2012,,N,,,Z ,,,,0,,,,,0,,78.7,Y
8,003011203.7003A,1,4,1,112,0,57,3,0,ROCK CREEK              ,,COUNTY ROAD 112   ,4.9 MI SE OF ALAMOSA     ,99.99,,,,,37243000,105491200,32,3,2,2,8,1990,2,0,80,1986,0,9.1,0,0,0,1,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,8.5,10.7,11,0,0,8.5,8.5,99.99,N,0,N,0,0,8,7,8,7,N,,53.1,,33.3,7,7,N,5,7,8,,,0,1090,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,2,,,,0,1,1,0,0,4,0,,Y,5,90,2012,,N,,,Z ,,,,0,,,,,0,,97.9,Y
8,0335.01        ,1,5,1,4,0,53,83,20770,DOLORES RIVER           ,,CITY STREET 4TH   ,IN CITY OF DOLORES       ,4.24,,,,,37281800,108301200,3,3,3,3,7,1916,1,0,665,1986,0,8.2,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,10,0,0,2,0,4.5,30.5,53,0,0,4.5,4.8,3.68,N,0,N,0,0,5,4,6,6,N,,8.1,,0,2,2,N,0,8,3,31,1,56.7,1190,24,Y24,N  ,N  ,1190,,,297,30,553,,,,,0,N,3,,,,0,1,1,0,0,4,0,,Y,6,670,2012,,N,,,A ,,,,0,,,,,1,,0,Y
8,049000000.1030A,1,4,1,0,0,36,49,0,MUDDY CREEK             ,,COUNTY ROAD 00    ,0.1 MI WEST OF US HWY 40 ,99.99,,,,,40133600,106261800,199,3,2,2,9,1986,1,0,24,1991,0,4.3,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,4.2,14.9,15.5,0,0,4.3,4.3,99.99,N,0,N,0,0,8,8,7,7,N,,53.1,,39.6,7,6,N,5,6,6,,,0,991,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,3,,,,0,6,8,0,0,0,0,,Y,6,55,2012,,N,,,Z ,,,,0,,,,,0,,76.8,Y
8,049000101.1006A,1,4,1,1,0,36,49,0,BLUE RIVER              ,,CO. RD. 1         ,0.75 MI WEST OF ST HWY 9 ,99.99,,,,,40015400,106230600,35,3,2,2,7,1990,2,0,202,1991,5,7.9,0,30,0,1,0,0,0,5,0,0,0,A,1,5,5,2,0,0,1,0,9.7,31.1,32,0,0,9.8,10.5,99.99,N,0,N,0,0,8,8,8,7,N,,60.3,,36,8,7,N,5,8,8,,,0,991,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,1,N,2,,,,0,1,1,0,0,9,0,,Y,6,465,2012,,N,,,Z ,,,,0,,,,,0,,95.7,Y
8,049000206.2004A,1,4,1,2,0,36,49,0,TROUBLESOME CREEK       ,,COUNTY ROAD 2     ,6.2 MI NORTH OF US HWY 40,99.99,,,,,40080600,106171200,18,3,2,2,8,1990,2,0,50,1991,5,6.7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,8.5,16.8,18.3,0,0,8.5,9.2,99.99,N,0,N,0,0,9,9,9,7,N,,29.7,,16.2,5,6,N,5,7,6,,,0,991,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,2,,,,0,6,8,0,0,0,0,,Y,6,115,2012,,N,,,Z ,,,,0,,,,,0,,74.7,Y
8,049000300.40010,1,4,1,3,0,36,49,0,COLORADO RIVER          ,,COUNTY ROAD 3     ,0.4 MI SOUTH OF US HWY 40,99.99,,,,,40030600,106102400,32,3,2,2,7,1965,2,0,365,1991,0,8.5,0,0,0,0,0,0,0,5,0,0,0,P,1,5,3,2,0,0,3,0,7.3,12.2,36.6,0,0,7.3,7.3,99.99,N,0,N,0,0,4,4,7,7,N,,17.1,,9.9,2,5,N,3,6,6,31,1,50.3,589,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,1,N,2,,,,0,6,6,0,0,4,0,,Y,6,840,2012,,N,,,A ,,,,0,,,,,1,,13.4,Y
8,049000304.90019,1,4,1,3,0,36,49,0,WILLIAMS FORK RIVER     ,,COUNTY ROAD 3     ,4.9 MI SOUTH OF US HWY 40,99.99,,,,,39593600,106100600,3,3,2,2,7,1972,2,0,219,1991,0,8.5,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,19,0,0,2,0,9.7,4.3,10.1,0,0,0,0,99.99,N,0,N,0,0,N,N,N,7,7,,36,,32.4,7,N,N,5,7,8,,,0,991,24,N  ,N  ,N  ,,,,0,0,0,2000,,,,0,N,2,,,,0,N,8,0,0,4,0,,Y,6,504,2012,,N,,,Z ,,,,0,,,,,0,*,97,Y
