STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980403 07:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980403 08:00,0.20, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980403 09:00,0.20, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980403 10:00,0.20, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980406 16:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980406 17:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980407 16:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980407 17:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980408 00:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980411 13:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980415 12:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980415 16:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980417 12:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980418 09:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980418 10:00,0.20, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980418 11:00,0.20, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980418 13:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980425 08:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980425 22:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980425 23:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980426 01:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980426 02:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980426 03:00,0.10, , 
COOP:051547,CHERRY CREEK DAM CO US,1721.2,39.62611,-104.83194,19980426 04:00,0.10, , 
