STATE_CODE_001,STRUCTURE_NUMBER_008,RECORD_TYPE_005A,ROUTE_PREFIX_005B,SERVICE_LEVEL_005C,ROUTE_NUMBER_005D,DIRECTION_005E,HIGHWAY_DISTRICT_002,COUNTY_CODE_003,PLACE_CODE_004,FEATURES_DESC_006A,CRITICAL_FACILITY_006B,FACILITY_CARRIED_007,LOCATION_009,MIN_VERT_CLR_010,KILOPOINT_011,BASE_HWY_NETWORK_012,LRS_INV_ROUTE_013A,SUBROUTE_NO_013B,LAT_016,LONG_017,DETOUR_KILOS_019,TOLL_020,MAINTENANCE_021,OWNER_022,FUNCTIONAL_CLASS_026,YEAR_BUILT_027,TRAFFIC_LANES_ON_028A,TRAFFIC_LANES_UND_028B,ADT_029,YEAR_ADT_030,DESIGN_LOAD_031,APPR_WIDTH_MT_032,MEDIAN_CODE_033,DEGREES_SKEW_034,STRUCTURE_FLARED_035,RAILINGS_036A,TRANSITIONS_036B,APPR_RAIL_036C,APPR_RAIL_END_036D,HISTORY_037,NAVIGATION_038,NAV_VERT_CLR_MT_039,NAV_HORR_CLR_MT_040,OPEN_CLOSED_POSTED_041,SERVICE_ON_042A,SERVICE_UND_042B,STRUCTURE_KIND_043A,STRUCTURE_TYPE_043B,APPR_KIND_044A,APPR_TYPE_044B,MAIN_UNIT_SPANS_045,APPR_SPANS_046,HORR_CLR_MT_047,MAX_SPAN_LEN_MT_048,STRUCTURE_LEN_MT_049,LEFT_CURB_MT_050A,RIGHT_CURB_MT_050B,ROADWAY_WIDTH_MT_051,DECK_WIDTH_MT_052,VERT_CLR_OVER_MT_053,VERT_CLR_UND_REF_054A,VERT_CLR_UND_054B,LAT_UND_REF_055A,LAT_UND_MT_055B,LEFT_LAT_UND_MT_056,DECK_COND_058,SUPERSTRUCTURE_COND_059,SUBSTRUCTURE_COND_060,CHANNEL_COND_061,CULVERT_COND_062,OPR_RATING_METH_063,OPERATING_RATING_064,INV_RATING_METH_065,INVENTORY_RATING_066,STRUCTURAL_EVAL_067,DECK_GEOMETRY_EVAL_068,UNDCLRENCE_EVAL_069,POSTING_EVAL_070,WATERWAY_EVAL_071,APPR_ROAD_EVAL_072,WORK_PROPOSED_075A,WORK_DONE_BY_075B,IMP_LEN_MT_076,DATE_OF_INSPECT_090,INSPECT_FREQ_MONTHS_091,FRACTURE_092A,UNDWATER_LOOK_SEE_092B,SPEC_INSPECT_092C,FRACTURE_LAST_DATE_093A,UNDWATER_LAST_DATE_093B,SPEC_LAST_DATE_093C,BRIDGE_IMP_COST_094,ROADWAY_IMP_COST_095,TOTAL_IMP_COST_096,YEAR_OF_IMP_097,OTHER_STATE_CODE_098A,OTHER_STATE_PCNT_098B,OTHR_STATE_STRUC_NO_099,STRAHNET_HIGHWAY_100,PARALLEL_STRUCTURE_101,TRAFFIC_DIRECTION_102,TEMP_STRUCTURE_103,HIGHWAY_SYSTEM_104,FEDERAL_LANDS_105,YEAR_RECONSTRUCTED_106,DECK_STRUCTURE_TYPE_107,SURFACE_TYPE_108A,MEMBRANE_TYPE_108B,DECK_PROTECTION_108C,PERCENT_ADT_TRUCK_109,NATIONAL_NETWORK_110,PIER_PROTECTION_111,BRIDGE_LEN_IND_112,SCOUR_CRITICAL_113,FUTURE_ADT_114,YEAR_OF_FUTURE_ADT_115,MIN_NAV_CLR_MT_116,FED_AGENCY,SUBMITTED_BY,BRIDGE_CONDITION,LOWEST_RATING,DECK_AREA
8,K-13-N         ,1,2,1,0050A,0,27,43,0,'CHERRY CREEK',,'US 50 ML','13 MI EAST OF SALIDA',99.99,327.126,1,000000050A,0,38254677,105490055,1,3,1,1,2,1934,2,0,2800,2011,6,7.3,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,14.9,15.8,0,0,9.1,10.2,99.99,N,0,N,0,0,6,6,6,8,N,1,34.6,1,20.7,5,4,N,5,8,8,,,15.9,119,24,N  ,N  ,N  ,,,,63,6,94,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,8,3780,2031,0,N,8,F,6,161.16
8,K-13-O         ,1,2,1,0050A,0,27,43,0,'DRAW',,'US 50 ML','16.3 MI SE OF SALIDA',99.99,332.174,1,000000050A,0,38235121,105464114,100,3,1,1,2,1934,2,0,2800,2011,2,7.3,0,0,0,0,0,1,1,5,0,0,0,A,1,5,7,2,0,0,3,0,8.8,7,21.5,0,0,8.8,9.1,99.99,N,0,N,0,0,6,6,7,7,N,2,37.2,2,25.4,6,4,N,5,8,8,,,21.7,119,24,N  ,N  ,N  ,,,,77,8,115,,,,               ,0,N,2,,1,0,0,8,6,0,0,5,1,,Y,5,3780,2031,0,N,8,F,6,195.65
8,K-13-P         ,1,2,1,0050A,0,27,43,0,'DRAW',,'US 50 ML','16.6 MI SE OF SALIDA',99.99,332.639,1,000000050A,0,38233638,105463767,100,3,1,1,2,1934,2,0,2800,2011,2,7.3,0,0,0,1,0,0,0,5,0,0,0,A,1,5,7,2,0,0,3,0,8.8,7,21.5,0,0,8.8,9.1,99.99,N,0,N,0,0,6,6,6,8,N,2,36.3,2,24.5,6,4,N,5,8,8,,,0,119,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,0,8,6,0,0,5,1,,Y,5,3780,2031,0,N,8,F,6,195.65
8,K-13-Q         ,1,2,1,0050A,0,27,43,0,'DRAW',,'US 50 ML','15 MI SE OF SALIDA',99.99,330.024,1,000000050A,0,38244656,105473131,100,3,1,1,2,1934,2,0,2800,2011,6,7.6,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,14.9,15.8,0,0,9.1,10.2,99.99,N,0,N,0,0,7,7,6,8,N,1,34.2,1,20.4,5,4,N,5,8,8,,,15.9,119,24,N  ,N  ,N  ,,,,276,28,414,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,5,3780,2031,0,N,8,F,6,161.16
8,K-13-R         ,1,2,1,0050A,0,27,43,0,'HOWARD CREEK',,'US 50 ML','11 MI SE OF SALIDA',99.99,324.253,1,000000050A,0,38263702,105501967,1,3,1,1,2,1934,2,0,2800,2011,6,7.3,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,8.8,9.8,0,0,9.1,10.2,99.99,N,0,N,0,0,7,7,6,8,N,1,38.5,1,23,6,4,N,5,8,8,,,0,117,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,8,3780,2031,0,N,8,F,6,99.96
8,K-13-T         ,1,2,1,0050A,0,27,43,0,'STOUT CREEK',,'US 50 ML','13 MI SE OF SALIDA',99.99,327.505,1,000000050A,0,38254282,105484593,100,3,1,1,2,1934,2,0,2800,2011,6,7.3,0,0,0,0,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,8.8,9.8,0,0,9.1,10.2,99.99,N,0,N,0,0,6,6,6,8,N,1,38.6,1,23.1,6,4,N,5,8,8,,,0,119,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,8,3780,2031,0,N,8,F,6,99.96
8,K-13-U         ,1,2,1,0050A,0,27,43,0,'HAYDEN CREEK',,'US 50 ML','18 MI SE OF SALIDA',99.99,335.732,1,000000050A,0,38221440,105452542,1,3,1,1,2,1936,2,0,2800,2011,2,7,0,0,0,0,0,0,0,5,0,0,0,A,1,5,3,2,0,0,1,0,9.1,9.1,10.1,0,0,9.1,10.2,99.99,N,0,N,0,0,6,6,6,8,N,1,38.8,1,23.2,6,4,N,5,8,8,,,0,119,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,8,3780,2031,0,N,8,F,6,103.02
8,K-13-V         ,1,2,1,0050A,0,27,43,0,'E. FORK HAYDEN CREEK',,'US 50 ML','7.7 MI E OF JCT HOWARD RO',99.99,335.896,1,000000050A,0,38221103,105452021,1,3,1,1,2,1936,2,1,2800,2011,2,8.5,0,0,0,0,0,1,1,5,0,0,0,A,1,6,3,2,0,0,1,0,9.1,9.1,10.2,0,0,9.1,10.2,99.99,H,3.4,H,1.5,0,7,6,6,7,N,1,34.8,1,20.9,5,4,3,5,8,8,,,10.1,117,24,N  ,N  ,N  ,,,,40,4,60,,,,               ,0,N,2,,1,0,0,1,6,0,0,5,1,,Y,8,3780,2031,0,N,8,F,6,104.04
8,K-14-A         ,1,2,1,0050A,0,24,43,0,'TEXAS CREEK',,'US 50 ML','7.2 MI E OF COTOPAXI',99.99,354.407,1,000000050A,0,38243395,105350133,24,3,1,1,2,1936,3,0,2700,2011,6,16.5,0,0,0,1,0,1,1,5,0,0,0,A,1,5,3,2,0,0,1,0,19.5,18,19.2,0,0,19.5,20.3,99.99,N,0,N,0,0,6,7,6,7,N,1,51.8,1,31.7,6,9,N,5,7,8,,,0,1118,24,N  ,N  ,N  ,,,,0,0,0,,,,               ,0,N,2,,1,0,1982,1,6,2,0,11,1,,Y,8,3456,2031,0,N,8,F,6,389.76
8,K-14-AA        ,1,2,1,0050A,0,24,43,0,'DRAW',,'US 50 ML','4 MI EAST OF COTOPAXI',99.99,347.662,1,000000050A,0,38232494,105384398,24,3,1,1,2,2015,2,0,2700,2011,A,8.8,0,0,0,1,1,1,1,5,0,0,0,A,1,5,1,19,0,0,1,0,12.2,6.1,6.1,0,0,12.2,14.8,99.99,N,0,N,0,0,N,N,N,8,8,5,38.1,0,32.7,8,6,N,5,8,8,,,25.3,1118,24,N  ,N  ,N  ,,,,100,10,150,,,,               ,0,N,2,,1,0,0,N,N,N,N,11,1,,Y,8,3456,2031,0,N,8,G,8,90.28
